area_type,availability,location,society,total_sqft,bath,balcony,price,Month_of_Availability
Super built-up  Area,Not Ready To Move,9th Phase JP Nagar,In society,1079.0,2,1,60.0,9
Built-up  Area,Ready To Move,Shivaji Nagar,Not in society,550.0,1,1,27.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1118.0,2,1,42.0,0
Super built-up  Area,Ready To Move,CV Raman Nagar,In society,1198.0,2,2,60.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,1162.5,2,2,30.215,6
Super built-up  Area,Ready To Move,Thigalarapalya,In society,1830.0,4,2,135.0,0
Super built-up  Area,Not Ready To Move,Banashankari Stage VI,In society,1160.0,2,1,59.0,10
Super built-up  Area,Ready To Move,Srirampuram,Not in society,1485.0,2,1,156.0,0
Super built-up  Area,Ready To Move,Ejipura,In society,2070.0,3,3,135.0,0
Plot  Area,Ready To Move,Basaveshwara Nagar,Not in society,750.0,4,1,150.0,0
Built-up  Area,Not Ready To Move,Kannamangala,In society,957.0,2,0,52.5,3
Plot  Area,Ready To Move,Basaveshwara Nagar,Not in society,2400.0,4,1,310.0,0
Super built-up  Area,Not Ready To Move,Bannerghatta Road,In society,1268.0,2,1,69.0,12
Super built-up  Area,Ready To Move,Bannerghatta Road,In society,1450.0,2,2,87.0,0
Built-up  Area,Ready To Move,Manorayana Palya,In society,1600.0,2,2,75.0,0
Super built-up  Area,Ready To Move,Uttarahalli,In society,1330.0,2,1,57.0,0
Super built-up  Area,Ready To Move,Jakkur,In society,1355.0,2,2,65.0,0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,In society,1100.0,2,1,38.49,0
Super built-up  Area,Ready To Move,Chikkalasandra,Not in society,1075.0,2,1,46.76,0
Super built-up  Area,Ready To Move,Lingarajapuram,Not in society,800.0,2,1,55.0,0
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,In society,900.0,1,1,44.0,0
Super built-up  Area,Ready To Move,Haralur Road,In society,1140.0,2,1,42.0,0
Super built-up  Area,Ready To Move,Ganga Nagar,Not in society,1480.0,2,2,125.0,0
Super built-up  Area,Not Ready To Move,Padmanabhanagar,Not in society,1710.0,2,2,90.63,5
Super built-up  Area,Not Ready To Move,Talaghattapura,In society,2106.0,3,3,148.0,12
Plot  Area,Ready To Move,Yeshwanthpur,Not in society,2400.0,6,2,270.0,0
Plot  Area,Ready To Move,Sadahalli,In society,3800.0,2,2,130.0,0
Plot  Area,Ready To Move,Vajarahalli,Not in society,800.0,3,2,120.0,0
Super built-up  Area,Ready To Move,Marathahalli,In society,1602.0,2,2,104.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1660.0,2,2,116.0,0
Super built-up  Area,Ready To Move,Electronic City Phase II,In society,1549.0,3,2,80.0,0
Super built-up  Area,Not Ready To Move,Marathahalli,In society,700.0,1,1,38.0,3
Super built-up  Area,Not Ready To Move,Balagere,In society,1012.0,2,1,64.0,12
Super built-up  Area,Not Ready To Move,Whitefield,In society,1216.0,2,1,69.0,8
Super built-up  Area,Ready To Move,Electronic City Phase II,In society,1065.0,2,1,56.13,0
Super built-up  Area,Not Ready To Move,Thanisandra,In society,1411.0,3,1,93.15,3
Super built-up  Area,Ready To Move,Pai Layout,In society,1400.0,2,2,57.5,0
Super built-up  Area,Ready To Move,Hoskote,In society,1250.0,3,2,29.0,0
Super built-up  Area,Ready To Move,Haralur Road,Not in society,1245.0,2,3,62.0,0
Super built-up  Area,Ready To Move,Choodasandra,In society,1115.0,2,1,50.0,0
Super built-up  Area,Ready To Move,Vidyaranyapura,In society,1000.0,2,1,35.0,0
Super built-up  Area,Not Ready To Move,Panathur,In society,1580.0,3,0,71.89,3
Super built-up  Area,Ready To Move,Subramanyapura,In society,1800.0,3,2,90.0,0
Super built-up  Area,Ready To Move,Mathikere,In society,1500.0,2,2,130.0,0
Super built-up  Area,Not Ready To Move,Kothannur,Not in society,1275.0,3,2,44.0,6
Super built-up  Area,Ready To Move,Kasavanhalli,In society,1494.0,3,2,82.0,0
Super built-up  Area,Ready To Move,Bhoganhalli,In society,1949.0,3,2,129.0,0
Super built-up  Area,Ready To Move,BTM Layout,In society,1020.0,2,1,46.5,0
Super built-up  Area,Ready To Move,Mysore Road,In society,883.0,2,1,45.0,0
Built-up  Area,Ready To Move,Old Airport Road,Not in society,3200.0,4,2,280.0,0
Plot  Area,Ready To Move,Uttarahalli,Not in society,1680.0,6,1,125.0,0
Plot  Area,Ready To Move,Mysore Road,Not in society,2232.0,6,2,300.0,0
Super built-up  Area,Ready To Move,Anand nagar,Not in society,2010.0,3,3,125.0,0
Super built-up  Area,Ready To Move,Yeshwanthpur,In society,1240.0,2,2,80.0,0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,Not in society,1213.0,2,1,63.0,0
Super built-up  Area,Ready To Move,Hegde Nagar,In society,1835.0,3,3,88.0,0
Plot  Area,Ready To Move,Hoskote,Not in society,1800.0,10,3,185.0,0
Super built-up  Area,Ready To Move,Bannerghatta Road,In society,2932.0,5,2,195.0,0
Built-up  Area,Ready To Move,Whitefield,Not in society,3425.0,5,2,250.0,0
Built-up  Area,Ready To Move,Gottigere,In society,945.0,2,0,45.0,0
Super built-up  Area,Ready To Move,Sathya Layout,In society,1504.0,2,2,100.0,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,In society,1569.0,3,2,150.0,0
Super built-up  Area,Ready To Move,Harlur,In society,1755.0,3,2,130.0,0
Super built-up  Area,Ready To Move,Vijayanagar,In society,1760.0,3,2,140.0,0
Super built-up  Area,Not Ready To Move,Hoodi,Not in society,1240.0,2,3,43.94,5
Super built-up  Area,Not Ready To Move,Electronics City Phase 1,In society,1450.0,3,2,72.54,12
Super built-up  Area,Ready To Move,5th Phase JP Nagar,In society,1000.0,2,0,48.0,0
Plot  Area,Ready To Move,Shivaji Nagar,Not in society,3820.0,1,1,306.0,0
Super built-up  Area,Ready To Move,Thyagaraja Nagar,Not in society,2000.0,4,2,145.0,0
Super built-up  Area,Ready To Move,Choodasandra,In society,1215.0,2,2,59.0,0
Plot  Area,Ready To Move,5 Bedroom Farm House in Lakshmipura,Not in society,24.0,6,2,550.0,0
Super built-up  Area,Ready To Move,Yelachenahalli,Not in society,1330.0,3,3,73.5,0
Super built-up  Area,Not Ready To Move,Raja Rajeshwari Nagar,In society,1178.0,2,1,75.0,8
Plot  Area,Not Ready To Move,Hulimavu,In society,1500.0,4,3,192.0,8
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,In society,2040.0,2,2,59.0,0
Super built-up  Area,Not Ready To Move,Bellandur,Not in society,2000.0,3,2,85.0,3
Super built-up  Area,Not Ready To Move,Shanti Nagar,In society,1602.0,2,1,165.0,5
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,Not in society,1200.0,4,1,130.0,0
Built-up  Area,Ready To Move,Jayamahal,In society,1800.0,3,1,220.0,0
Plot  Area,Ready To Move,Dasarahalli,Not in society,2400.0,2,1,152.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1700.0,3,3,108.0,0
Built-up  Area,Ready To Move,Jigani,In society,1200.0,3,2,65.0,0
Plot  Area,Ready To Move,Veer Sandra,In society,1500.0,3,0,72.0,0
Plot  Area,Ready To Move,Karuna Nagar,In society,1240.0,3,2,165.0,0
Built-up  Area,Ready To Move,Whitefield,Not in society,3000.0,3,2,400.0,0
Built-up  Area,Ready To Move,Kanakpura Road,Not in society,1737.0,3,3,85.0,0
Built-up  Area,Ready To Move,Chennappa Layout,In society,1280.0,2,1,48.0,0
Super built-up  Area,Ready To Move,CV Raman Nagar,In society,1560.0,2,2,85.0,0
Super built-up  Area,Ready To Move,Kambipura,Not in society,883.0,2,1,44.0,0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,Not in society,750.0,2,1,33.0,0
Super built-up  Area,Ready To Move,Brookefield,In society,2400.0,3,3,140.0,0
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,In society,900.0,2,1,45.0,0
Super built-up  Area,Ready To Move,Hormavu,Not in society,1030.0,2,1,49.35,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1850.0,3,2,155.0,0
Built-up  Area,Ready To Move,Hennur Road,In society,1831.0,3,1,110.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,Not in society,1095.0,2,1,38.33,0
Built-up  Area,Not Ready To Move,Electronic City Phase II,In society,1320.0,2,1,38.13,7
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1272.5,2,0,40.72,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,Not in society,1000.0,2,1,61.0,0
Super built-up  Area,Ready To Move,Budigere,In society,1820.0,3,2,85.4,0
Super built-up  Area,Ready To Move,Bisuvanahalli,In society,1075.0,2,1,41.0,0
Plot  Area,Not Ready To Move,TC Palaya,Not in society,1500.0,3,0,83.0,5
Super built-up  Area,Ready To Move,Electronics City Phase 1,Not in society,360.0,1,0,16.9,0
Super built-up  Area,Ready To Move,Kadugodi,In society,925.0,1,0,40.7,0
Super built-up  Area,Not Ready To Move,Electronic City,In society,1140.0,2,1,70.93,12
Super built-up  Area,Not Ready To Move,Chennammana Kere,Not in society,1145.0,2,2,58.4,10
Super built-up  Area,Ready To Move,RMV Extension Stage 2,Not in society,1862.0,3,3,120.0,0
Super built-up  Area,Ready To Move, Devarachikkanahalli,Not in society,947.0,2,2,43.0,0
Built-up  Area,Ready To Move,Langford Town,Not in society,697.0,4,2,211.0,0
Plot  Area,Ready To Move,Chandra Layout,Not in society,700.0,3,2,195.0,0
Super built-up  Area,Ready To Move,Kalena Agrahara,Not in society,1120.0,2,2,40.0,0
Built-up  Area,Ready To Move,Sadanand Nagar,Not in society,2700.0,3,3,200.0,0
Super built-up  Area,Ready To Move,Kaggadasapura,In society,1805.0,2,2,75.0,0
Super built-up  Area,Ready To Move,Basavangudi,Not in society,1100.0,2,3,93.0,0
Plot  Area,Ready To Move,Bommenahalli,In society,1355.0,3,0,135.0,0
Built-up  Area,Not Ready To Move,"Whietfield, ",Not in society,1677.0,3,2,98.0,12
Built-up  Area,Ready To Move,Hosapalya,Not in society,2500.0,8,3,95.0,0
Super built-up  Area,Ready To Move,Uttarahalli,Not in society,1560.0,3,3,74.0,0
Super built-up  Area,Ready To Move,Arekere,Not in society,2060.0,3,2,150.0,0
Super built-up  Area,Ready To Move,Koramangala,In society,1716.0,2,0,115.0,0
Super built-up  Area,Ready To Move,Harlur,Not in society,1864.0,3,1,140.0,0
Built-up  Area,Ready To Move,Electronics City Phase 1,Not in society,638.0,1,1,32.0,0
Plot  Area,Ready To Move,Sidedahalli,Not in society,1200.0,7,3,95.0,0
Super built-up  Area,Ready To Move,Kodigehalli,Not in society,1150.0,9,2,170.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,937.0,2,1,30.0,12
Built-up  Area,Ready To Move,Hennur Gardens,In society,1490.0,2,1,115.0,0
Super built-up  Area,Ready To Move,Frazer Town,In society,4856.0,5,3,410.0,0
Plot  Area,Ready To Move,Whitefield,In society,4003.0,6,1,525.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1100.0,2,1,37.0,5
Super built-up  Area,Ready To Move,Thigalarapalya,In society,1000.0,2,2,48.53,0
Super built-up  Area,Ready To Move,Horamavu Agara,Not in society,1060.0,2,1,37.0,0
Super built-up  Area,Ready To Move,Kundalahalli,In society,1047.0,2,1,91.0,0
Built-up  Area,Ready To Move,Basaveshwara Nagar,Not in society,1200.0,2,2,80.0,0
Super built-up  Area,Ready To Move,Akshaya Nagar,In society,1420.0,2,2,75.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1539.0,3,2,85.0,0
Super built-up  Area,Ready To Move,Tejaswini Nagar,In society,1550.0,3,1,59.0,0
Super built-up  Area,Ready To Move,Kasavanhalli,Not in society,1555.0,3,3,82.0,0
Plot  Area,Ready To Move,BTM Layout 1stage 9th Main,Not in society,600.0,6,2,138.0,0
Super built-up  Area,Ready To Move,Seegehalli,In society,1553.0,3,3,68.0,0
Super built-up  Area,Ready To Move,Electronic City Phase II,In society,920.0,2,2,26.0,0
Super built-up  Area,Ready To Move,Jeevan bima nagar,In society,1740.0,3,3,120.0,0
Super built-up  Area,Ready To Move,OMBR Layout,Not in society,1855.0,3,2,145.0,0
Super built-up  Area,Not Ready To Move,Kundalahalli,In society,1724.0,3,1,146.0,3
Super built-up  Area,Ready To Move,B Narayanapura,In society,1020.0,2,2,60.0,0
Plot  Area,Ready To Move,Banaswadi,Not in society,1000.0,4,2,150.0,0
Super built-up  Area,Ready To Move,Uttarahalli,Not in society,1250.0,2,1,50.0,0
Super built-up  Area,Ready To Move,Sanjay nagar,Not in society,1450.0,3,2,75.0,0
Super built-up  Area,Ready To Move,Thubarahalli,In society,1200.0,2,2,80.0,0
Built-up  Area,Ready To Move,Haralur Road,In society,1140.0,2,2,58.0,0
Plot  Area,Ready To Move,Hoskote,Not in society,900.0,5,2,110.0,0
Super built-up  Area,Ready To Move,Basava Nagar,In society,550.0,1,1,16.0,0
Super built-up  Area,Not Ready To Move,Bannerghatta Road,In society,1450.0,3,1,44.0,10
Plot  Area,Ready To Move,Jigani,In society,1500.0,2,2,25.49,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,700.0,2,1,35.07,12
Plot  Area,Not Ready To Move,Whitefield,Not in society,1200.0,3,1,56.0,7
Super built-up  Area,Ready To Move,Yelahanka,In society,1050.0,2,1,45.0,0
Super built-up  Area,Ready To Move,Somasundara Palya,Not in society,1600.0,3,3,69.0,0
Super built-up  Area,Ready To Move,Bannerghatta Road,Not in society,1625.0,2,3,75.0,0
Super built-up  Area,Ready To Move,Volagerekallahalli,In society,1492.0,2,2,65.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,2856.0,5,0,157.5,12
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1489.0,2,3,82.0,0
Super built-up  Area,Ready To Move,Kanakapura,Not in society,1560.0,2,2,62.38,0
Super built-up  Area,Ready To Move,Haralur Road,In society,1140.0,2,2,42.0,0
Super built-up  Area,Ready To Move,Lavakusha Nagar,In society,1431.0,3,2,65.0,0
Super built-up  Area,Ready To Move,Lingadheeranahalli,In society,1682.0,3,1,114.0,0
Super built-up  Area,Not Ready To Move,Panathur,In society,1198.0,2,1,86.26,2
Plot  Area,Not Ready To Move,Outer Ring Road East,In society,3664.0,3,2,325.0,5
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1550.0,2,2,69.75,0
Super built-up  Area,Ready To Move,Kodichikkanahalli,Not in society,1026.0,2,1,45.0,0
Built-up  Area,Ready To Move,Hennur,Not in society,1260.0,2,2,52.0,0
Plot  Area,Ready To Move,Singanayakanahalli,Not in society,690.0,2,0,42.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,539.0,1,1,45.0,0
Built-up  Area,Ready To Move,Sarakki Nagar,Not in society,1200.0,4,1,85.0,0
Built-up  Area,Ready To Move,Attibele,Not in society,2400.0,3,3,120.0,0
Super built-up  Area,Ready To Move,Thubarahalli,In society,1200.0,2,2,79.55,0
Plot  Area,Ready To Move,Kundalahalli,Not in society,2500.0,5,2,350.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1186.0,2,2,40.0,0
Super built-up  Area,Ready To Move,Thanisandra,In society,1039.0,2,2,39.5,0
Plot  Area,Ready To Move,Mahalakshmi Puram,Not in society,1500.0,5,3,233.0,0
Plot  Area,Ready To Move,Gottigere,Not in society,1500.0,4,1,100.0,0
Super built-up  Area,Ready To Move,Malleshwaram,In society,2520.0,3,2,150.0,0
Built-up  Area,Ready To Move,Brookefield,In society,1225.0,2,2,66.5,0
Built-up  Area,Ready To Move,Bommanahalli,In society,1350.0,2,2,72.0,0
Super built-up  Area,Ready To Move,Vittal Mallya Road,In society,1030.0,2,2,300.0,0
Built-up  Area,Ready To Move,Whitefield,Not in society,1550.0,2,2,49.6,0
Super built-up  Area,Ready To Move,Hoodi,Not in society,1490.0,3,2,79.0,0
Super built-up  Area,Ready To Move,Brindavan Nagar,In society,1520.0,3,2,111.0,0
Plot  Area,Ready To Move,Whitefield,In society,4100.0,4,2,550.0,0
Built-up  Area,Ready To Move,Dena Bank Colony,In society,1391.0,2,3,64.5,0
Super built-up  Area,Ready To Move,Rachenahalli,In society,1200.0,2,2,50.0,0
Plot  Area,Ready To Move,Kadabagere,Not in society,1200.0,4,2,86.0,0
Plot  Area,Ready To Move,1st Block HBR Layout,Not in society,2500.0,6,3,500.0,0
Super built-up  Area,Ready To Move,Yelahanka,In society,1322.0,2,2,80.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,2173.0,3,2,128.0,12
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1200.0,2,2,75.0,0
Super built-up  Area,Ready To Move,Thubarahalli,Not in society,1200.0,2,2,47.0,0
Super built-up  Area,Ready To Move,Mysore Road,Not in society,1170.0,2,2,65.0,0
Super built-up  Area,Not Ready To Move,NRI Layout,Not in society,1125.0,2,2,45.56,12
Super built-up  Area,Not Ready To Move,Devanahalli,In society,698.5,1,0,28.57,5
Super built-up  Area,Ready To Move,Seetharampalya,In society,1250.0,2,2,90.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,1025.0,2,2,27.68,12
Super built-up  Area,Ready To Move,Yelahanka,Not in society,1075.0,2,2,36.0,0
Super built-up  Area,Ready To Move,High grounds,Not in society,1900.0,2,2,190.0,0
Built-up  Area,Ready To Move,Whitefield,In society,1435.0,3,2,45.0,0
Super built-up  Area,Not Ready To Move,Electronics City Phase 1,In society,1175.0,2,2,64.98,12
Built-up  Area,Ready To Move,Doddabidrakallu,In society,900.0,2,1,33.0,0
Super built-up  Area,Ready To Move,Electronics City Phase 1,Not in society,585.0,1,1,21.0,0
Plot  Area,Ready To Move,Jigani,In society,3170.0,5,2,230.0,0
Super built-up  Area,Not Ready To Move,Shanti Nagar,In society,1602.0,2,1,170.0,5
Super built-up  Area,Ready To Move,Thanisandra,In society,1220.0,2,2,42.0,0
Super built-up  Area,Ready To Move,Rajaji Nagar,In society,2500.0,3,3,350.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,2145.0,3,3,180.0,0
Super built-up  Area,Ready To Move,Bannerghatta Road,In society,960.0,2,3,58.0,0
Super built-up  Area,Ready To Move,NGR Layout,In society,907.0,1,1,38.0,0
Super built-up  Area,Ready To Move,Old Madras Road,In society,1210.0,2,1,74.0,0
Plot  Area,Ready To Move,Kammanahalli,Not in society,900.0,4,1,150.0,0
Super built-up  Area,Ready To Move,Jnana Ganga Nagar,In society,1230.0,2,2,70.0,0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,In society,1350.0,2,1,75.0,0
Super built-up  Area,Ready To Move,Kenchenahalli,In society,1150.0,2,2,58.0,0
Super built-up  Area,Not Ready To Move,Sarjapur,In society,1404.0,2,0,53.35,4
Super built-up  Area,Ready To Move,OMBR Layout,Not in society,1050.0,2,3,48.0,0
Plot  Area,Ready To Move,Kothanur,Not in society,1020.0,10,0,155.0,0
Super built-up  Area,Ready To Move,Yelahanka,In society,1285.0,2,2,56.0,0
Super built-up  Area,Ready To Move,Hormavu,In society,1018.0,2,1,50.8,0
Plot  Area,Ready To Move,Hoskote,Not in society,1200.0,3,2,57.0,0
Super built-up  Area,Ready To Move,Ejipura,In society,1600.0,3,3,95.0,0
Super built-up  Area,Not Ready To Move,9th Phase JP Nagar,In society,1480.0,2,1,80.0,9
Built-up  Area,Ready To Move,Kodichikkanahalli,Not in society,2500.0,7,0,125.0,0
Built-up  Area,Ready To Move,Kaval Byrasandra,Not in society,480.0,1,1,25.0,0
Super built-up  Area,Ready To Move,Akshaya Nagar,In society,1435.0,3,3,53.0,0
Built-up  Area,Ready To Move,Lingarajapuram,Not in society,450.0,1,2,60.0,0
Super built-up  Area,Ready To Move,Austin Town,Not in society,600.0,2,0,23.0,0
Super built-up  Area,Ready To Move,CV Raman Nagar,In society,1590.0,2,3,85.0,0
Plot  Area,Ready To Move,Hoskote,In society,1730.0,2,2,28.545,0
Built-up  Area,Ready To Move,Nagavara,Not in society,936.0,2,0,40.2,0
Super built-up  Area,Ready To Move,Banashankari,Not in society,1181.0,2,1,75.0,0
Super built-up  Area,Not Ready To Move,Kengeri,In society,1741.0,3,2,80.0,4
Super built-up  Area,Not Ready To Move,JP Nagar,In society,1750.0,3,1,123.0,12
Super built-up  Area,Ready To Move,Varthur Road,Not in society,1050.0,2,2,42.7,0
Super built-up  Area,Not Ready To Move,Tumkur Road,In society,1027.0,2,1,60.0,12
Built-up  Area,Ready To Move,Geleyara Balaga Layout,In society,596.0,2,1,22.0,0
Built-up  Area,Ready To Move,Dollar Scheme Colony,In society,3463.0,6,0,310.0,0
Built-up  Area,Ready To Move,Sector 2 HSR Layout,Not in society,1600.0,3,2,70.0,0
Super built-up  Area,Ready To Move,Sahakara Nagar,In society,1000.0,2,1,60.0,0
Super built-up  Area,Not Ready To Move,Varthur,In society,1120.0,2,2,44.24,4
Plot  Area,Ready To Move,Jinkethimmanahalli,Not in society,1200.0,2,0,85.0,0
Super built-up  Area,Not Ready To Move,Kothnoor Dinne,Not in society,1200.0,2,2,35.0,6
Super built-up  Area,Ready To Move,Kasturi Nagar,In society,1570.0,3,2,110.0,0
Super built-up  Area,Ready To Move,Koramangala,In society,1500.0,3,1,135.0,0
Built-up  Area,Ready To Move,Frazer Town,In society,1315.0,2,2,140.0,0
Super built-up  Area,Not Ready To Move,Electronic City Phase II,In society,1140.0,2,1,33.84,4
Super built-up  Area,Ready To Move,Banashankari,In society,1105.0,2,2,90.0,0
Built-up  Area,Not Ready To Move,Electronic City,Not in society,1200.0,2,1,34.65,12
Super built-up  Area,Not Ready To Move,Whitefield,In society,905.0,1,1,62.0,12
Plot  Area,Ready To Move,HSR Layout,Not in society,2400.0,4,0,350.0,0
Super built-up  Area,Ready To Move,Kudlu Gate,In society,1185.0,2,1,50.0,0
Super built-up  Area,Ready To Move,Koramangala,Not in society,1083.0,2,1,100.0,0
Super built-up  Area,Ready To Move,Rayasandra,In society,1458.0,3,2,60.0,0
Super built-up  Area,Ready To Move,Hormavu,In society,1555.0,3,2,75.0,0
Built-up  Area,Ready To Move,Devi Nagar,In society,1200.0,2,2,45.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1308.0,2,1,58.86,0
Super built-up  Area,Ready To Move,Kudlu,In society,1024.0,2,2,44.0,0
Super built-up  Area,Ready To Move,Kanakapura,Not in society,1450.0,3,1,75.0,0
Super built-up  Area,Ready To Move,Seegehalli,In society,1639.0,3,3,120.0,0
Super built-up  Area,Not Ready To Move,Hennur Road,In society,1232.0,2,1,87.0,10
Super built-up  Area,Ready To Move,Kasavanhalli,In society,1719.0,3,1,184.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,975.0,2,1,24.86,5
Super built-up  Area,Ready To Move,New Gurappana Palya,Not in society,2000.0,4,2,130.0,0
Super built-up  Area,Ready To Move,Jakkur,In society,1230.0,2,1,79.0,0
Plot  Area,Ready To Move,Guddadahalli,Not in society,1350.0,4,2,140.0,0
Super built-up  Area,Ready To Move,KR Puram,Not in society,1076.0,2,2,67.0,0
Built-up  Area,Ready To Move,Kumaraswami Layout,Not in society,2400.0,7,1,125.0,0
Super built-up  Area,Ready To Move,Vasanthpura,Not in society,995.0,2,2,34.82,0
Super built-up  Area,Ready To Move,Kodigehaali,In society,2120.0,3,2,177.0,0
Plot  Area,Ready To Move,Kasthuri Nagar East Of NGEF,Not in society,2400.0,7,2,460.0,0
Plot  Area,Ready To Move,Chikka Gowdanapalya.,Not in society,850.0,6,2,78.0,0
Super built-up  Area,Ready To Move,Electronic City,In society,1096.0,2,2,40.55,0
Super built-up  Area,Ready To Move,Horamavu Agara,In society,595.0,2,1,41.51,0
Built-up  Area,Ready To Move,Chamrajpet,Not in society,505.0,1,0,85.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1320.0,2,2,115.0,0
Super built-up  Area,Not Ready To Move,8th Phase JP Nagar,In society,1431.5,3,0,72.02,3
Super built-up  Area,Not Ready To Move,Whitefield,In society,1320.0,2,1,99.26,2
Super built-up  Area,Ready To Move,Whitefield,In society,2901.0,4,2,190.0,0
Built-up  Area,Ready To Move,GM Palaya,In society,1315.0,2,2,65.0,0
Super built-up  Area,Ready To Move,VGP Layout,In society,1000.0,2,1,44.0,0
Super built-up  Area,Ready To Move,Hosakerehalli,In society,1596.0,3,3,79.8,0
Super built-up  Area,Ready To Move,Bannerghatta Road,In society,1750.0,3,2,130.0,0
Plot  Area,Ready To Move,Whitefield,In society,2403.0,4,2,270.0,0
Super built-up  Area,Not Ready To Move,Old Madras Road,In society,1350.0,3,2,47.25,12
Super built-up  Area,Ready To Move,Old Madras Road,In society,4062.5,2,2,341.0,0
Super built-up  Area,Not Ready To Move,"TR Mill Road, Chamarajpet",Not in society,1175.0,2,2,79.0,7
Super built-up  Area,Ready To Move,Talaghattapura,Not in society,921.0,2,1,29.47,0
Built-up  Area,Ready To Move,Malleshwaram,Not in society,4000.0,4,2,1100.0,0
Super built-up  Area,Ready To Move,Sultan Palaya,In society,1713.0,3,3,125.0,0
Built-up  Area,Ready To Move,Ittamadu,In society,1200.0,2,0,43.0,0
Built-up  Area,Ready To Move,8th Phase JP Nagar,Not in society,1900.0,4,1,90.0,0
Super built-up  Area,Ready To Move,Kudlu Gate,Not in society,1664.0,3,2,68.0,0
Super built-up  Area,Not Ready To Move,Binny Pete,In society,1795.0,3,2,139.0,12
Built-up  Area,Ready To Move,Kereguddadahalli,In society,600.0,1,1,19.5,0
Built-up  Area,Ready To Move,Hoodi,Not in society,1240.0,2,3,65.0,0
Super built-up  Area,Ready To Move,Hegde Nagar,In society,1965.0,4,2,132.0,0
Plot  Area,Ready To Move,Vishveshwarya Layout,Not in society,600.0,4,0,99.0,0
Plot  Area,Ready To Move,Sarjapur,Not in society,4111.0,4,1,370.0,0
Super built-up  Area,Not Ready To Move,Electronics City Phase 1,In society,1200.0,2,2,59.76,12
Super built-up  Area,Ready To Move,Ganga Nagar,Not in society,1112.0,2,3,68.0,0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Not in society,3000.0,3,2,60.0,0
Super built-up  Area,Ready To Move,Mahadevpura,Not in society,1136.0,2,3,64.5,0
Super built-up  Area,Ready To Move,Jigani,In society,914.0,2,2,55.0,0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,Not in society,1270.0,2,1,50.79,0
Super built-up  Area,Ready To Move,Rachenahalli,Not in society,1050.0,2,2,47.25,0
Super built-up  Area,Ready To Move,Marathahalli,Not in society,1385.0,2,2,68.5,0
Super built-up  Area,Ready To Move,Medahalli,Not in society,990.0,2,3,35.0,0
Built-up  Area,Ready To Move,Yelahanka,Not in society,845.0,2,2,43.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1485.0,2,1,96.51,9
Super built-up  Area,Ready To Move,Kanakapura,In society,1460.0,2,3,43.79,0
Super built-up  Area,Ready To Move,Thanisandra,In society,1450.0,2,1,57.0,0
Built-up  Area,Ready To Move,HSR Layout,In society,1360.0,2,1,53.0,0
Built-up  Area,Ready To Move,Singasandra,Not in society,1375.0,2,3,58.0,0
Super built-up  Area,Ready To Move,Uttarahalli,In society,1125.0,2,1,48.0,0
Super built-up  Area,Ready To Move,Banashankari,Not in society,720.0,1,1,60.0,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1460.0,2,2,100.0,0
Built-up  Area,Ready To Move,Green View Layout,In society,1107.0,2,2,40.0,0
Built-up  Area,Ready To Move,Maruthi Nagar,Not in society,1158.0,2,3,75.0,0
Super built-up  Area,Ready To Move,Yelachenahalli,Not in society,800.0,1,1,30.0,0
